State_name,Year,season,Average_temperature,Area_total_under_SPEI-1.6,normalised drought_area_under SPEI -1.6,Area_total_under_SPEI-2,normalised drought_area_under SPEI -2,rainfall_mm,yield_z_scores,production_z_scores,crop_production_ktons,Irrigated_total_area,Fertiliser_Consumption_tons,Milk  ('000 t),Egg (millions),Meat ( '000 t),price_z_scores,PRIMARY SECTOR CONSTANT PRICES (Millions in Rs),TOTAL CONSTANT PRICES (Millions in Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),STATE MALE AVERAGE FIELD LABOUR (Rs per Day),STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day),growth_failure_5-14yo_dalys_per_100k,child_materNaNl_malnutrition_dalys_per_100k,under5_stunt_dalys_per_100k,food_subsidy_million_R,Child Wasting 5-14 year olds DALYS per 100 000,"Child Underweight 5-14 years old_ DALYs per 100,000"
Andhra Pradesh,1990,Kharif,300.1313189,0,0,0,0,9201.5,-0.108828048,0.220787042,26643.7,4792.33,537.979,3010,3829,NaN,-0.932598752,NaN,NaN,NaN,19.6,13.81818182,312.4189027,18803.9816,18803.9816,NaN,312.4189027,312.4189027
Andhra Pradesh,1990,Rabi,299.3561145,23799.45814,0.133944156,0,0,6119.8,-0.329733491,-0.229249181,602.2,9.46,530.014,3010,3829,NaN,-1.658152799,NaN,NaN,NaN,19.6,13.81818182,312.4189027,18803.9816,18803.9816,NaN,312.4189027,312.4189027
Andhra Pradesh,1991,Kharif,300.2331953,11688.58948,0.065783777,0,0,10966,-0.076719612,0.142977047,28156.4,4757.73,510.482,2943,3812,NaN,-0.168082567,NaN,NaN,NaN,21.14,13.54545455,303.6704269,17954.42864,17954.42864,NaN,303.6704269,303.6704269
Andhra Pradesh,1991,Rabi,299.8713521,23377.17897,0.131567554,0,0,2350.7,-0.405589953,-0.368645454,622.3,7.67,527.387,2943,3812,NaN,-1.283123077,NaN,NaN,NaN,21.14,13.54545455,303.6704269,17954.42864,17954.42864,NaN,303.6704269,303.6704269
Andhra Pradesh,1992,Kharif,300.9319487,11753.44943,0.066148811,0,0,8020,0.115851519,-0.0807821,24754.6,4407.52,496.994,3103,5690,NaN,-0.795735156,NaN,NaN,NaN,24.5,17.18181818,271.2861457,17233.58952,17233.58952,NaN,271.2861457,271.2861457
Andhra Pradesh,1992,Rabi,299.0315199,NaN,NaN,NaN,NaN,3669,-0.288808818,-0.297105298,706.5,8.9,497.513,3103,5690,NaN,-1.13506304,NaN,NaN,NaN,24.5,17.18181818,271.2861457,17233.58952,17233.58952,NaN,271.2861457,271.2861457
Andhra Pradesh,1993,Kharif,300.9029755,35502.18002,0.19980747,11872.59863,0.066819387,8226,-0.324612013,0.147303949,27387.3,4053.97,456.784,3766,5557,NaN,-0.61566983,NaN,NaN,NaN,26.06,18.63636364,233.8769129,16284.62926,16284.62926,NaN,233.8769129,233.8769129
Andhra Pradesh,1993,Rabi,299.4489273,35065.76845,0.197351331,0,0,3292,-0.141574827,-0.170411683,758.3,10.39,552.087,3766,5557,NaN,-1.033222437,NaN,NaN,NaN,26.06,18.63636364,233.8769129,16284.62926,16284.62926,NaN,233.8769129,233.8769129
Andhra Pradesh,1994,Kharif,300.7823862,83314.56705,0.468897202,23745.19727,0.133638774,8584,-0.16767017,-0.04809376,28838.4,4098.99,493.293,4221,6060,NaN,-0.572491334,NaN,NaN,NaN,29.89,21.36363636,186.8211065,15373.54061,15373.54061,NaN,186.8211065,186.8211065
Andhra Pradesh,1994,Rabi,299.6446852,46754.35794,0.263135108,11688.58948,0.065783777,2741,-0.387877253,0.47413007,802,9.94,566.627,4221,6060,NaN,-0.896730502,NaN,NaN,NaN,29.89,21.36363636,186.8211065,15373.54061,15373.54061,NaN,186.8211065,186.8211065
Andhra Pradesh,1995,Kharif,300.8979244,23799.45814,0.133944156,11872.59863,0.066819387,10867,-0.467194231,0.260656888,28995.522,0,556.185,4261,6420,NaN,-0.560332603,NaN,NaN,NaN,NaN,NaN,158.0023726,14648.61427,14648.61427,NaN,158.0023726,158.0023726
Andhra Pradesh,1995,Rabi,298.8846743,118769.606,0.668439361,11926.85951,0.067124769,5567,-0.24292981,-0.23048807,689.6,0,531.668,4261,6420,NaN,-0.570797881,NaN,NaN,NaN,NaN,NaN,158.0023726,14648.61427,14648.61427,NaN,158.0023726,158.0023726
Andhra Pradesh,1996,Kharif,300.0490346,11688.58948,0.065783777,0,0,13137,-0.440258926,0.155609324,18126.7,0,556.305,4470,NaN,NaN,0.128793785,NaN,NaN,NaN,NaN,NaN,135.5625244,13829.21918,13829.21918,NaN,135.5625244,135.5625244
Andhra Pradesh,1996,Rabi,299.8476389,118679.9734,0.667934906,11688.58948,0.065783777,1191,-0.476215498,-0.074587267,654,0,525.4,4470,NaN,NaN,-0.072405405,NaN,NaN,NaN,NaN,NaN,135.5625244,13829.21918,13829.21918,NaN,135.5625244,135.5625244
